event_name,event_timestamp,user_pseudo_id,unique_session_id,data.path,user_properties.subscription_state,user_properties.subscription_product,user_properties.app_language,user_properties.feature_new_onboarding,user_properties.ab_tooltips_enabled
compatibility_list_open,1710561959556000,1f8654b9-8e75-4723-bd54-242492c3ef62,1f8654b9-8e75-4723-bd54-242492c3ef62_1710561536760,/,subscribed,yearly_t_2,en,False,False
compatibility_list_open,1710561963273000,1f8654b9-8e75-4723-bd54-242492c3ef62,1f8654b9-8e75-4723-bd54-242492c3ef62_1710561536760,/,subscribed,yearly_t_2,en,False,False
compatibility_list_open,1710561969594000,1f8654b9-8e75-4723-bd54-242492c3ef62,1f8654b9-8e75-4723-bd54-242492c3ef62_1710561536760,/,subscribed,yearly_t_2,en,False,False
compatibility_list_open,1710561977801000,1f8654b9-8e75-4723-bd54-242492c3ef62,1f8654b9-8e75-4723-bd54-242492c3ef62_1710561536760,/,subscribed,yearly_t_2,en,False,False
compatibility_list_open,1710894759171000,1f8654b9-8e75-4723-bd54-242492c3ef62,1f8654b9-8e75-4723-bd54-242492c3ef62_1710894756356,/,subscribed,yearly_t_2,en,False,False
compatibility_list_open,1710892944559000,ca0a6b12-6fdc-4929-96f6-682e83fd2869,ca0a6b12-6fdc-4929-96f6-682e83fd2869_1710892938285,/,subscribed,yearly_t_2,en,True,False
compatibility_list_open,1710893043928000,ca0a6b12-6fdc-4929-96f6-682e83fd2869,ca0a6b12-6fdc-4929-96f6-682e83fd2869_1710892938285,/,subscribed,yearly_t_2,en,True,False
compatibility_list_open,1710893052523000,ca0a6b12-6fdc-4929-96f6-682e83fd2869,ca0a6b12-6fdc-4929-96f6-682e83fd2869_1710892938285,/,subscribed,yearly_t_2,en,True,False
compatibility_list_open,1710892838679000,4bc6e579-cbcf-4eeb-9acf-871de6a9589f,4bc6e579-cbcf-4eeb-9acf-871de6a9589f_1710892813626,/,subscribed,yearly_t_2,en,False,False
compatibility_list_open,1710892887458000,4bc6e579-cbcf-4eeb-9acf-871de6a9589f,4bc6e579-cbcf-4eeb-9acf-871de6a9589f_1710892813626,/,subscribed,yearly_t_2,en,False,False
compatibility_list_open,1710892923713000,4bc6e579-cbcf-4eeb-9acf-871de6a9589f,4bc6e579-cbcf-4eeb-9acf-871de6a9589f_1710892813626,/,subscribed,yearly_t_2,en,False,False
compatibility_list_open,1710893047104000,4bc6e579-cbcf-4eeb-9acf-871de6a9589f,4bc6e579-cbcf-4eeb-9acf-871de6a9589f_1710892813626,/,subscribed,yearly_t_2,en,False,False
