event_name,event_timestamp,user_pseudo_id,unique_session_id,data.path,user_properties.subscription_state,user_properties.subscription_product,user_properties.feature_new_onboarding,user_properties.ab_tooltips_enabled,event_properties.type
transits_tab_switch,1710838568447000,274cbe2e-7add-4f98-a948-6008d72e1812,274cbe2e-7add-4f98-a948-6008d72e1812_1710838528683,/,subscribed,6month_1_1999,False,False,transits
transits_tab_switch,1710929323655000,274cbe2e-7add-4f98-a948-6008d72e1812,274cbe2e-7add-4f98-a948-6008d72e1812_1710929285594,/,subscribed,6month_1_1999,False,False,planets
transits_tab_switch,1710932914500000,654be444-6cbc-4d58-b227-225b27db2996,654be444-6cbc-4d58-b227-225b27db2996_1710932730655,/,subscribed,yearly_t_2,False,False,planets
transits_tab_switch,1710938697043000,620b972d-6c49-4f09-9398-b17e29d2f801,620b972d-6c49-4f09-9398-b17e29d2f801_1710938686037,/,subscribed,yearly_t_2,False,False,planets
transits_tab_switch,1710938909431000,620b972d-6c49-4f09-9398-b17e29d2f801,620b972d-6c49-4f09-9398-b17e29d2f801_1710938686037,/,subscribed,yearly_t_2,False,False,transits
transits_tab_switch,1710943158362000,78214edb-0ca8-4b34-a514-bdcba88efe77,78214edb-0ca8-4b34-a514-bdcba88efe77_1710942970599,/,subscribed,Yearly_30_b_var3,False,False,planets
transits_tab_switch,1710943159143000,78214edb-0ca8-4b34-a514-bdcba88efe77,78214edb-0ca8-4b34-a514-bdcba88efe77_1710942970599,/,subscribed,Yearly_30_b_var3,False,False,planets
transits_tab_switch,1710943166851000,78214edb-0ca8-4b34-a514-bdcba88efe77,78214edb-0ca8-4b34-a514-bdcba88efe77_1710942970599,/,subscribed,Yearly_30_b_var3,False,False,transits
transits_tab_switch,1710940743948000,f21eba18-4c01-4efa-a4ae-86e2bc3a890b,f21eba18-4c01-4efa-a4ae-86e2bc3a890b_1710940732744,/,subscribed,yearly_t_2,False,False,planets
transits_tab_switch,1710939728961000,21e7d8f7-be96-4e9b-b65a-3d2195e413eb,21e7d8f7-be96-4e9b-b65a-3d2195e413eb_1710939580258,/,subscribed,yearly_t_2,False,False,transits
